Name,Hash,Hash (Decimal),Id,ArrayVal1,ArrayVal2,ArrayVal3,ArrayVal4,ArrayVal5,ArrayVal6
Redistribute (Pl0100),`0x2C52A4A2`,743613602,?,Maximum Taken from User,Minimum given to other players,N/A,N/A,1(Default),1(Default)
Mystic Vortex (3) (Pl0400),`0xEFF8B87D`,4026054781,?,N/A,N/A,N/A,N/A,1(Default),1(Default)
Unknown (Pl0700),`0x3384197F`,864295295,?,?,?,?,?,1(Default),1(Default)
Benediction Lvl 2 (Pl0700),`0x865B9A65`,2254150245,?,N/A,N/A,N/A,N/A,1(Default),1(Default)
Benediction Lvl 2 (Pl0700),`0xA7781674`,2809665140,?,N/A,N/A,N/A,N/A,1(Default),1(Default)
+1 Pet (Pl0700),`0xAA8D483A`,2861385786,?,N/A,N/A,N/A,N/A,1(Default),1(Default)
Benediction Lvl 3 (Pl0700),`0xF15CAAF3`,4049382131,?,N/A,N/A,N/A,N/A,1(Default),1(Default)
Benediction Lvl 1 (Pl0700),`0x1F52CBDF`,525519839,?,N/A,N/A,N/A,N/A,1(Default),1(Default)
Unknown (Pl0700),`0xF15CAAF2`,4049382130,?,?,?,?,?,1(Default),1(Default)
Benediction Lvl 3 (Pl0700),`0xD07F26E2`,3497993954,?,N/A,N/A,N/A,N/A,1(Default),1(Default)
Onslaught Pet Summon (Pl0700),`0xDAE7BCB5`,3672620213,?,N/A,N/A,N/A,N/A,1(Default),1(Default)
Unknown (Pl0700),`0x6F383F4F`,1865957199,?,?,?,?,?,1(Default),1(Default)
Unknown (Pl0700),`0x7935180D`,2033522701,?,?,?,?,?,1(Default),1(Default)
Umlauf (Pl0700),`0x7935180E`,2033522702,?,Time(s),AttackRate,BreakRate,SpArtsRate,1(Default),1(Default)
Unknown (Pl0700),`0x7A152B84`,2048207748,?,?,?,?,?,1(Default),1(Default)
Benediction Lvl 4 (Pl0700),`0x6F383F50`,1865957200,?,N/A,N/A,N/A,N/A,1(Default),1(Default)
Sic 'em Geegee (Calls FSM) (Pl0700),`0x71A4DF4E`,1906630478,?,N/A,N/A,N/A,N/A,1(Default),1(Default)
Unknown (Pl0700),`0x44832915`,1149446421,?,?,?,?,?,1(Default),1(Default)
Unknown (Pl0700),`0x44832916`,1149446422,?,?,?,?,?,1(Default),1(Default)
Benediction Lvl 4 (Pl0700),`0x4E1BB341`,1310438209,?,N/A,N/A,N/A,N/A,1(Default),1(Default)
Summon all Pets (Pl0700),`0x33841980`,864295296,?,N/A,N/A,N/A,N/A,1(Default),1(Default)
Benediction Lvl 1 (Pl0700),`0x3E7147CE`,1047611342,?,N/A,N/A,N/A,N/A,1(Default),1(Default)
Supplementary DMG (Self) (Pl0800),`0xC8313227`,3358667303,?,Time(s),Percent of DMG dealt,Number of Frames to Delay,?,1(Default),1(Default)
Full Heal + Cleanse (Self) (Pl0900),`0x351D334B`,891106123,?,N/A,N/A,N/A,N/A,1(Default),1(Default)
DMG Increase Based on SBA Gauge (Pl0900),`0xA35A1ACC`,2740591308,?,Maximum % Increase,?,N/A,N/A,1(Default),1(Default)
Unknown (Pl1000),`0xA3D08ECC`,2748354252,?,?,?,?,?,1(Default),1(Default)
Unknown (Pl1100),`0x8C71F7DD`,2356279261,?,?,?,?,?,1(Default),1(Default)
ATK UP + DEF UP (Self) (Pl1100),`0xE000D366`,3758150502,?,Percent,Time(s),?,N/A,1(Default),1(Default)
Draconic Release (Pl1100),`0x70FA1BE7`,1895439335,?,Base Percent (Multiplies up to 5x),Base Time(s),N/A,N/A,1(Default),1(Default)
Valiant Stance (Pl1200),`0xB6B2FA0D`,3065182733,?,Base Percent (Multiplies up to 4x),Time(s),N/A,N/A,1(Default),1(Default)
Trice Blade (Pl1300),`0x9234731A`,2452910874,?,?,Time(s),N/A,N/A,1(Default),1(Default)
10 Stacks of Eternal Rage (Pl1500),`0x7B2B42FC`,2066432764,?,?,N/A,N/A,N/A,1(Default),1(Default)
Stacks of Eternal Rage (Pl1500),`0x2206919A`,570855834,?,Number of Stacks,N/A,N/A,N/A,1(Default),1(Default)
Unknown (Pl1600),`0x4ADC6716`,1255958294,?,?,?,?,?,1(Default),1(Default)
Thousand Flames (Adds Dispel properties and calls FSM) (Pl1600),`0x05CA5D48`,97148232,?,N/A,N/A,N/A,N/A,1(Default),1(Default)
Melas Gauge Activation (Pl1700),`0x8D70C1B6`,2372977078,?,N/A,N/A,N/A,N/A,1(Default),1(Default)
Health Loss (Self) (Pl1700),`0xF858EDED`,4166577645,?,Percent,N/A,N/A,N/A,1(Default),1(Default)
Phantasmagoria (Pl1800),`0x8D2324D6`,2367890646,?,ATK UP/DEF UP Percent,?,Crit UP Percent,Time(s),1(Default),1(Default)
Ethereal Prison (Calls FSM) (Pl2100),`0x6B258477`,1797620855,?,N/A,N/A,N/A,N/A,1(Default),1(Default)
Breath of Life (Calls FSM) (Pl2100),`0x035AE5D4`,56288724,?,N/A,N/A,N/A,N/A,1(Default),1(Default)
Unknown (Pl2200),`0x607715DE`,1618417118,?,?,?,?,?,1(Default),1(Default)
Unknown (Pl2200),`0x607715DF`,1618417119,?,?,?,?,?,1(Default),1(Default)
Full Avatar Gauge (Pl2200),`0x7174941D`,1903465501,?,N/A,N/A,N/A,N/A,1(Default),1(Default)
Max SBA Gauge (Team) (Pl2200),`0xA80061E9`,2818597353,?,N/A,N/A,N/A,N/A,1(Default),1(Default)
Unknown (Pl2200),`0xCCC343EE`,3435348974,?,?,?,?,?,1(Default),1(Default)
Deadshot (Pl2300),`0x01AE6CA0`,28208288,?,?,N/A,Time(s),Percent of Extra Multilock Points,1(Default),1(Default)
