Name,Hash,Hash (Decimal),Id
Heal,`0x3DF78A11`,`1039632913`,0
?,`0x74E366EA`,`1961060074`,1
Def or Atk,`0x7EA3642C`,`2124637228`,2
Def or Atk,`0x7279FD12`,`1920597266`,3
Damage Cut,`0xB9EE55DF`,`3119404511`,4
?,`0x385B2937`,`945498423`,5
?,`0x5D242D2D`,`1562651949`,6
Attack,`0x94356910`,`2486528272`,7
Def,`0x04620443`,`73532483`,8
?,`0x8567C7C4`,`-2056796220`,9
?,`0x4630AB3C`,`1177594684`,10
?,`0x2CB18EB5`,`749833909`,11
?,`0xF0C762F9`,`-255368455`,12
?,`0xF690C192`,`-158285422`,13
?,`0x7079C0FF`,`1887027455`,14
?,`0xEE6D81FC`,`-294813188`,15
?,`0xA65CE935`,`-1503860427`,16
?,`0x71A9250F`,`1906910479`,17
Supplementary Damage,`0x173C4A28`,`389827112`,18
?,`0x5DAFEB78`,`1571810168`,19
?,`0x8EBDD513`,`-1900161773`,20
?,`0xCC5CEBB6`,`-866325578`,21
?,`0x004A1635`,`4855349`,22
?,`0x0F00F2F8`,`251720440`,23
?,`0x994ABA62`,`-1723155870`,24
?,`0x0A71753A`,`175207738`,25
?,`0xEC211E9C`,`-333373796`,26
Veil,`0x93505ED4`,`2471517908`,27
?,`0xE2893157`,`-494325417`,28
Guts,`0x15B7ACB7`,`364358839`,29
?,`0x38E66DEF`,`954625519`,30
Strength,`0x4EFE6CF8`,`4EFE6CF8`,31
Jammed,`0xCAD30AAD`,`3402828461`,32
?,`0x72F61986`,`1928731014`,33
Crit,`0x24B08E48`,`615550536`,34
?,`0x5AB202AE`,`1521615534`,35
?,`0xF8C4E240`,`-121314752`,-1
